4.157837 10490 3.617116,2.263184 10176 3.402168,0.996187 11980 4.001081
4.157837 10811 3.633375,2.504354 10109 3.377057,0.715581 10575 3.522800
4.157837 10145 3.376571,2.263184 10133 3.387227,0.695926 10209 3.406582
4.157837 10110 3.348945,2.504356 10327 3.454985,0.715533 10377 3.470157
4.157837 10128 3.370080,2.267972 10156 3.420163,0.719756 10205 3.447153
4.157837 10401 3.464028,2.263184 10227 3.409214,0.717401 10759 3.613593
4.157837 10081 3.350511,2.504353 10365 3.479225,2.343831 10143 3.446347
4.164158 13752 4.569953,2.499853 10322 3.452670,0.715475 10109 3.412177
4.157837 10149 3.386910,2.263185 11060 3.712814,0.695920 14744 4.915445
4.157837 10116 3.355233,2.504356 10110 3.417449,2.347222 10126 3.403970
4.157837 10128 3.375683,2.504356 10132 3.382000,0.715641 10348 3.443256
4.157837 10090 3.351394,2.504357 10549 3.529519,0.748942 10118 3.386378
4.157837 10180 3.394372,2.504357 10219 3.463549,0.715624 10217 3.391754
4.157837 10117 3.380200,2.268003 10552 3.553113,1.963123 14290 4.829618
4.157837 10153 3.373257,2.504356 10173 3.399214,0.715627 10702 3.540928
4.157837 10119 3.362939,2.263184 10717 3.586955,2.139305 10144 3.435794
4.157837 10107 3.348230,2.504354 18435 6.172467,0.715536 10442 3.484523
4.157837 10144 3.374780,2.263184 10194 3.403747,2.140160 14446 4.869416
4.157837 10227 3.389708,2.263184 10334 3.459334,2.139305 13629 4.594716
4.157837 10273 3.402631,2.263184 10210 3.400414,0.695927 10312 3.444754
4.157837 10389 3.501476,2.504354 10091 3.401283,0.748966 10542 3.558678
4.157837 10123 3.358605,2.263185 10515 3.536831,0.695954 10092 3.401912
