4.157837 11885 3.985606,2.504354 10214 3.417858,0.715578 10383 3.483050
4.157837 12040 4.142916,2.504354 10341 3.485556,0.715539 11493 3.878188
4.157837 10378 3.480311,2.504353 10332 3.480110,0.715530 11060 3.712345
4.157837 10285 3.462719,2.263184 10935 3.672901,0.695926 10265 3.444331
4.157837 10143 3.413030,2.263184 10342 3.475343,2.139305 13684 4.647706
4.157837 10127 3.401464,2.263184 11612 3.913168,0.695926 10233 3.434692
4.157837 10677 3.578728,2.263184 10260 3.443534,2.139305 14509 4.967910
4.157837 10161 3.402955,2.504355 12850 4.329590,0.715569 10675 3.585732
4.157837 10122 3.384731,2.268024 10681 3.628218,0.720430 10609 3.564617
4.157837 10558 3.533339,2.504356 10121 3.391308,2.343981 10265 3.516543
4.157837 10115 3.396010,2.263184 10340 3.493327,2.139305 10451 3.556036
4.157837 10163 3.394502,2.504357 10561 3.564153,0.802251 13273 4.467844
4.157837 10139 3.391589,2.263184 10146 3.407975,0.695927 10410 3.490982
4.157837 10109 3.407217,2.504355 10183 3.437285,0.715527 10283 3.463538
4.157837 10181 3.410131,2.263184 10119 3.388960,0.695934 10340 3.467679
4.157837 10282 3.437943,2.267973 10135 3.446551,0.719724 10169 3.416281
4.157837 12159 4.092834,2.263184 26581 8.970528,0.695926 10273 3.450276
9.265243 10779 3.637971,2.654995 10140 3.394430,1.129479 10185 3.412549
4.157837 11504 3.852063,2.267972 10820 3.676247,1.963235 10369 3.508276
9.265243 11348 3.880244,2.654972 10288 3.433697,1.129816 10849 3.636300
4.157837 10410 3.469447,2.267977 10179 3.428982,0.719471 10314 3.470221
4.157837 10231 3.445666,2.263184 10313 3.468647,2.139305 10670 3.608346
