4.994544 10173 3.503406,3.499115 10225 3.463088,1.838947 10237 3.456333
4.157837 10184 3.403524,2.267975 10498 3.530159,1.963217 10271 3.473046
5.581239 10228 3.446899,4.191612 11409 3.827185,2.505249 10628 3.579409
9.265243 11018 3.725510,2.654915 10191 3.435476,2.237334 10133 3.457394
4.157837 10173 3.383117,2.268001 10326 3.486087,0.718596 10471 3.573016
4.157837 10191 3.398525,2.504354 10150 3.395091,0.715540 10215 3.394150
4.157837 10140 3.387620,2.267975 11214 3.780399,1.766835 10296 3.504596
4.157837 10486 3.500884,2.263184 10191 3.417150,0.695926 10389 3.468487
4.157837 10138 3.379430,2.504355 16415 5.498690,0.715527 10325 3.461867
4.157837 10110 3.353929,2.504355 17908 6.044877,2.479739 10246 3.537952
4.157837 10714 3.797843,4.099500 14482 6.545094,2.486517 10834 3.885202
4.157837 10125 4.490833,2.267981 10404 4.029477,2.170164 10259 3.622789
4.157837 10139 4.265829,2.504357 10174 4.010405,0.715700 10360 3.733946
4.157837 12202 4.185259,2.504357 10162 3.529144,2.344069 10209 3.763130
4.157837 10070 3.371847,2.263184 10170 3.419637,2.139305 10265 3.710181
5.581561 10184 3.584231,4.202214 21227 7.843360,2.561064 10473 3.812003
5.581129 10346 3.809546,3.745609 10240 3.646560,2.451216 10252 3.727064
4.157837 10411 4.248424,2.504355 10125 4.464435,2.459494 10179 4.088124
4.157837 16654 5.989892,2.263184 10107 3.644868,0.695927 10512 3.704439
4.157837 10096 3.570139,2.268003 11666 4.205870,0.718547 10274 3.571805
4.157837 10187 3.533809,2.504354 13120 4.417332,2.343787 10352 4.043967
4.157837 10123 3.454894,2.504354 10904 3.624693,2.343767 10173 3.417440
