4.157837 10169 3.458413,2.504354 10121 3.437165,0.715536 10219 3.457878
4.157837 10111 3.434431,2.267979 10181 3.476062,2.121349 10128 3.486465
4.157837 10176 3.447584,2.263184 10190 3.459328,0.695926 10404 3.530783
4.157837 10188 3.459509,2.267972 10399 3.570128,2.170432 10183 3.510299
4.157837 10136 3.453960,2.263184 10140 3.454992,0.695926 10258 3.507727
4.157837 10173 3.456910,2.263184 10145 3.448216,2.139305 10320 3.541134
4.157837 10334 3.494358,2.267979 11866 4.076554,0.719392 10257 3.479506
4.157837 11491 3.905373,2.268001 10621 3.645277,0.718608 10134 3.408153
4.157837 10103 3.399690,2.263184 10135 3.444652,0.695929 10097 3.414732
4.157837 10119 3.750411,2.263184 10145 3.440275,0.695968 10120 3.416919
9.265243 11402 3.925645,2.655016 10136 3.471105,1.210530 11007 3.722514
4.157837 10262 3.468034,2.263184 10192 3.469906,0.695926 10111 3.421171
4.157837 10059 3.392811,2.263184 10228 3.467392,0.695926 10294 3.503617
4.160956 12101 4.076908,2.264980 10342 3.554285,0.722219 13010 4.408572
4.157837 10118 3.409099,2.267972 10374 3.545337,0.719752 10151 3.438787
4.157837 10086 3.408281,2.263184 10154 3.444399,0.695976 14019 4.787862
4.157837 10163 3.431670,2.268005 10514 3.587235,0.718490 10322 3.505504
4.157837 10165 3.426059,2.263184 10099 3.426262,0.695996 10309 3.507261
9.265243 10730 3.686675,2.654992 10417 3.529767,1.129653 10188 3.483604
4.157837 10128 3.430412,2.263184 10152 3.451922,0.695926 10208 3.452686
9.265247 10346 3.530255,2.655046 10524 3.566421,1.129840 13523 4.551840
4.157837 10223 3.466445,2.263184 10122 3.440020,0.695926 10795 3.653936
