4.157837 10707 4.384447,2.263189 10166 4.180582,2.139291 10176 4.219609
4.157837 10499 4.319198,2.263184 10189 4.188174,0.695926 11011 4.515187
9.265378 10355 4.276715,2.648640 13008 5.349346,2.546286 10252 4.209764
4.157837 10478 4.276947,2.263184 10676 4.386705,0.695952 10230 4.216708
4.157837 10066 4.120535,2.263184 10127 4.149942,0.695926 10703 4.476373
4.157837 10238 4.197749,2.263185 10145 4.193942,2.139300 11114 4.630844
9.904202 10108 4.184962,3.308090 10100 4.151664,2.669061 10200 4.219579
4.157837 10094 4.135584,2.263184 10210 4.219108,0.695926 10515 4.313892
4.157837 12137 4.974026,2.504357 10175 4.175417,0.715671 10429 4.257192
4.157837 10171 4.162082,2.263184 10375 4.256196,0.695943 10219 4.199467
4.157837 10356 4.236666,2.504354 10528 4.307475,0.715578 10173 4.165798
9.265243 10318 4.295505,2.655002 10697 4.376885,1.129650 10260 4.216884
4.157837 12906 5.287340,2.267984 10319 4.254160,0.719111 10202 4.183446
4.157837 11102 4.561000,2.263184 10122 4.157053,0.695926 10925 4.480228
4.157837 10324 4.241854,2.268006 10376 4.306738,0.718513 10253 4.171240
8.367745 12495 5.116727,6.188750 10701 4.418331,5.915337 10988 4.548324
4.157837 10129 4.159735,2.504354 10461 4.270148,0.715554 10310 4.226510
4.157837 10098 4.140882,2.504359 10177 4.185716,0.715679 10202 4.204583
4.157837 10105 4.127637,2.504357 10315 4.242668,0.715674 11687 4.819063
4.157837 10234 4.218830,2.263184 10113 4.154660,2.139305 10242 4.239025
4.157837 10165 4.149215,2.504354 15843 6.512930,2.484426 12062 4.951770
4.157837 10372 4.239283,2.267972 10397 4.291300,0.719748 10825 4.434733
