4.157837 10099 3.368534,2.504354 10196 3.416939,0.715557 10248 3.412878
4.157837 10196 3.416209,2.267975 21419 7.204292,0.719607 10420 3.496608
4.157837 10164 3.380244,2.263184 10284 3.435157,0.695926 10186 3.401502
9.265243 10127 3.441377,2.654973 10557 3.552424,1.900375 10584 3.571106
4.157837 10109 3.372513,2.263184 10179 3.395230,0.695926 11168 3.727820
4.157837 10122 3.379401,2.504354 11207 3.764752,0.715535 10514 3.513358
4.157837 10157 3.396989,2.263185 10140 3.408445,0.695936 10521 3.549983
4.157837 10248 3.418243,2.267982 12368 4.170728,0.719274 10129 3.372354
4.157837 10378 3.467659,2.263184 10136 3.395526,0.695951 10436 3.506287
9.265251 10188 3.451858,2.654460 10231 3.426166,1.129071 10166 3.379060
4.157837 10141 3.369916,2.263184 10686 3.566004,2.139305 10422 3.512843
4.157837 10402 3.476032,2.263184 10325 3.438711,0.695926 10335 3.449165
4.157881 10443 3.504517,2.263080 11244 3.755453,0.696004 10522 3.504580
4.157837 10131 3.383154,2.263184 10119 3.382329,2.140160 25194 8.514383
4.157837 10175 3.388128,2.504354 10924 3.670333,0.715557 10267 3.422973
4.157837 10202 3.430638,2.504356 10152 3.426109,0.715537 10185 3.445072
4.157837 10321 3.441256,2.504357 11847 4.000509,0.715639 10399 3.498592
7.373793 17246 5.806312,4.087174 10143 3.411523,2.328355 10133 3.421495
9.265243 10294 3.484333,2.654899 10397 3.481500,1.129724 11290 3.742403
4.157837 10138 3.378568,2.267980 10105 3.390278,0.719351 11438 3.823863
5.581133 10424 3.498436,3.769929 10246 3.456109,2.878193 10277 3.440023
4.157837 10280 3.425221,2.634572 10347 3.474695,1.106388 11427 3.851429
