4.157837 10402 3.896886,2.263184 10133 3.212527,0.695926 11090 3.299600
4.157837 10157 4.390793,2.267990 13516 4.081389,0.718922 11474 3.389185
4.157837 10103 2.957583,2.267974 10216 3.051796,2.122509 10263 3.024875
4.157837 10345 3.052237,2.263184 10249 3.000446,0.695926 10319 3.032831
4.157837 10437 3.040938,2.504355 12389 3.633585,0.748997 10118 2.988876
4.157837 10120 2.943604,4.099500 10203 2.879156,2.486507 10169 2.984825
4.157837 10150 2.966014,2.504357 10194 2.983294,0.748930 10110 2.986066
4.158612 10158 3.013675,2.263120 10115 2.965920,2.142287 10182 3.021044
4.157837 10064 2.924751,2.267973 10203 3.006864,0.719728 10339 3.001572
4.157837 11535 3.411804,2.263184 10118 2.951203,0.695926 10159 2.988398
4.157837 10167 2.960969,4.048626 11485 3.412377,2.605636 10596 3.090734
4.157837 10103 2.929503,2.504354 10489 3.047033,2.478765 15610 4.611759
4.157837 10627 3.111350,2.504355 10097 2.948954,0.715559 10329 3.044146
4.157837 10166 2.951140,2.267973 10499 3.099905,0.719723 10705 3.143881
4.157837 10140 2.944265,2.504354 10405 3.023066,0.715581 10342 3.043473
4.157837 10200 2.966712,2.267972 10301 3.044716,2.235778 10167 2.967578
4.157837 10105 2.931900,2.263184 10178 2.968138,2.139305 10361 3.056205
4.157837 10148 2.946875,2.263184 16602 4.861646,0.695926 10232 3.007802
4.157837 10224 2.993150,2.268148 10294 3.022855,0.718286 11166 3.257934
4.157837 10173 2.958169,2.267972 11219 3.319779,0.719748 10810 3.153889
4.157837 10148 2.957937,2.504354 10799 3.157183,2.478766 10563 3.163233
4.157837 10274 2.989053,2.504357 10287 2.975466,2.344160 10596 3.155358
